--------------------epoch: 0--------------------
Training start ...
*[Iter]: 000 [Acc@1]: 0.000%  [Acc@5]: 5.469%  [Loss]: 4.88572.
*[Iter]: 001 [Acc@1]: 4.688%  [Acc@5]: 8.594%  [Loss]: 4.74917.
*[Iter]: 002 [Acc@1]: 3.906%  [Acc@5]: 14.844%  [Loss]: 4.60022.
*[Iter]: 003 [Acc@1]: 5.469%  [Acc@5]: 28.125%  [Loss]: 4.25020.
*[Iter]: 004 [Acc@1]: 6.250%  [Acc@5]: 14.844%  [Loss]: 4.21016.
*[Iter]: 005 [Acc@1]: 2.344%  [Acc@5]: 15.625%  [Loss]: 4.31742.
*[Iter]: 006 [Acc@1]: 3.125%  [Acc@5]: 15.625%  [Loss]: 4.30437.
*[Iter]: 007 [Acc@1]: 1.562%  [Acc@5]: 14.844%  [Loss]: 4.45778.
*[Iter]: 008 [Acc@1]: 0.781%  [Acc@5]: 14.844%  [Loss]: 4.56675.
*[Iter]: 009 [Acc@1]: 5.469%  [Acc@5]: 15.625%  [Loss]: 4.17228.
*[Iter]: 010 [Acc@1]: 4.688%  [Acc@5]: 17.969%  [Loss]: 4.30158.
*[Iter]: 011 [Acc@1]: 3.125%  [Acc@5]: 13.281%  [Loss]: 4.36108.
*[Iter]: 012 [Acc@1]: 0.781%  [Acc@5]: 13.281%  [Loss]: 4.30456.
*[Iter]: 013 [Acc@1]: 4.688%  [Acc@5]: 20.312%  [Loss]: 4.20008.
*[Iter]: 014 [Acc@1]: 4.688%  [Acc@5]: 26.562%  [Loss]: 3.99797.
*[Iter]: 015 [Acc@1]: 3.125%  [Acc@5]: 17.969%  [Loss]: 4.24753.
*[Iter]: 016 [Acc@1]: 0.781%  [Acc@5]: 15.625%  [Loss]: 4.35234.
*[Iter]: 017 [Acc@1]: 5.469%  [Acc@5]: 11.719%  [Loss]: 4.31695.
*[Iter]: 018 [Acc@1]: 3.906%  [Acc@5]: 14.062%  [Loss]: 4.25995.
*[Iter]: 019 [Acc@1]: 6.250%  [Acc@5]: 13.281%  [Loss]: 4.30348.
*[Iter]: 020 [Acc@1]: 7.812%  [Acc@5]: 25.000%  [Loss]: 3.87357.
*[Iter]: 021 [Acc@1]: 8.594%  [Acc@5]: 24.219%  [Loss]: 3.99328.
*[Iter]: 022 [Acc@1]: 5.469%  [Acc@5]: 18.750%  [Loss]: 4.13223.
*[Iter]: 023 [Acc@1]: 5.469%  [Acc@5]: 19.531%  [Loss]: 4.18844.
*[Iter]: 024 [Acc@1]: 3.906%  [Acc@5]: 17.969%  [Loss]: 4.08638.
*[Iter]: 025 [Acc@1]: 1.562%  [Acc@5]: 17.188%  [Loss]: 4.24535.
*[Iter]: 026 [Acc@1]: 5.469%  [Acc@5]: 12.500%  [Loss]: 4.28018.
*[Iter]: 027 [Acc@1]: 3.125%  [Acc@5]: 23.438%  [Loss]: 4.02309.
*[Iter]: 028 [Acc@1]: 5.469%  [Acc@5]: 25.781%  [Loss]: 4.38258.
*[Iter]: 029 [Acc@1]: 8.594%  [Acc@5]: 28.125%  [Loss]: 4.03327.
*[Iter]: 030 [Acc@1]: 4.688%  [Acc@5]: 17.969%  [Loss]: 4.39665.
*[Iter]: 031 [Acc@1]: 0.781%  [Acc@5]: 16.406%  [Loss]: 4.42101.
*[Iter]: 032 [Acc@1]: 4.688%  [Acc@5]: 19.531%  [Loss]: 4.04831.
*[Iter]: 033 [Acc@1]: 6.250%  [Acc@5]: 16.406%  [Loss]: 4.19895.
*[Iter]: 034 [Acc@1]: 4.688%  [Acc@5]: 17.188%  [Loss]: 4.20774.
*[Iter]: 035 [Acc@1]: 7.031%  [Acc@5]: 19.531%  [Loss]: 4.06044.
*[Iter]: 036 [Acc@1]: 3.906%  [Acc@5]: 22.656%  [Loss]: 4.19842.
*[Iter]: 037 [Acc@1]: 3.906%  [Acc@5]: 25.781%  [Loss]: 3.97294.
*[Iter]: 038 [Acc@1]: 3.906%  [Acc@5]: 18.750%  [Loss]: 4.34311.
*[Iter]: 039 [Acc@1]: 3.906%  [Acc@5]: 25.000%  [Loss]: 4.14661.
*[Iter]: 040 [Acc@1]: 8.594%  [Acc@5]: 21.875%  [Loss]: 4.18071.
*[Iter]: 041 [Acc@1]: 4.688%  [Acc@5]: 20.312%  [Loss]: 4.15065.
*[Iter]: 042 [Acc@1]: 7.031%  [Acc@5]: 27.344%  [Loss]: 4.13849.
*[Iter]: 043 [Acc@1]: 7.031%  [Acc@5]: 29.688%  [Loss]: 3.92621.
*[Iter]: 044 [Acc@1]: 7.031%  [Acc@5]: 19.531%  [Loss]: 4.08631.
*[Iter]: 045 [Acc@1]: 7.031%  [Acc@5]: 17.969%  [Loss]: 4.18538.
*[Iter]: 046 [Acc@1]: 3.906%  [Acc@5]: 16.406%  [Loss]: 4.17023.
*[Iter]: 047 [Acc@1]: 3.125%  [Acc@5]: 16.406%  [Loss]: 4.30211.
*[Iter]: 048 [Acc@1]: 3.125%  [Acc@5]: 22.656%  [Loss]: 4.17789.
*[Iter]: 049 [Acc@1]: 3.125%  [Acc@5]: 13.281%  [Loss]: 4.26625.
*[Iter]: 050 [Acc@1]: 7.812%  [Acc@5]: 23.438%  [Loss]: 4.02940.
*[Iter]: 051 [Acc@1]: 4.688%  [Acc@5]: 17.969%  [Loss]: 4.15899.
*[Iter]: 052 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 4.10533.
*[Iter]: 053 [Acc@1]: 6.250%  [Acc@5]: 27.344%  [Loss]: 4.01452.
*[Iter]: 054 [Acc@1]: 6.250%  [Acc@5]: 19.531%  [Loss]: 4.08671.
*[Iter]: 055 [Acc@1]: 3.906%  [Acc@5]: 25.781%  [Loss]: 3.92794.
